experiment,macro_f1,macro_precision,mcc,accuracy,auto_share,precision_on_auto,storefront_errors,errors_1049_as_5,errors_5_as_1049,errors_into_5_total,recall_class_5,duration_sec
baseline,0.9809,0.9819,0.9711,0.9848,0.9293,0.99537,87,165,93,176,0.9924,0
optuna,0.9848,0.9843,0.9707,0.9845,0.9149,0.99519,89,178,96,190,0.9924,0
